1	"000 0000200"	"*#            *fewer         *spicy         *roars         *tunic         *parse"	"Animal?"	1
2	"000 0000210"	"*#            *snipe         *snipe         *leaked        *trusty        *lilies"	"Animal?"	1
3	"000 0000400"	"*#            *rely          *earn          *troop         *flock         *miles"	"Animal?"	1
4	"000 0000201"	"*#            *absent        *fawn          *caught        *happy         *domino"	"Animal?"	2
5	"000 0000410"	"*#            *bedded        *edge          *wisest        *wisest        *vested"	"Animal?"	1
6	"079 1040400"	"*#            *mama          *stack         *kale          *romp          *thrum"	"Animal?"	1
7	"165 1083501"	"*#            *desire        *guilty        *curate        *rises         *moth"	"Animal?"	2
8	"213 1107201"	"*#            *creaks        *gopher        *creep         *stung         *lieu"	"Animal?"	2
9	"217 1109201"	"*#            *calmed        *duck          *shirk         *evict         *woeful"	"Animal?"	2
10	"183 1092101"	"*#            *puffin        *purely        *avid          *vial          *curled"	"Animal?"	2
11	"198 1099101"	"*#            *swan          *haze          *unsafe        *outgo         *sheath"	"Animal?"	2
12	"181 1091501"	"*#            *silt          *mopped        *wisdom        *herons        *snake"	"Animal?"	2
13	"161 1081301"	"*#            *soot          *gator         *goat          *cynics        *refers"	"Animal?"	2
14	"199 1100501"	"*#            *orator        *nudism        *gifted        *cluck         *cougar"	"Animal?"	2
15	"114 1057210"	"*#            *mead          *mead          *solos         *oblige        *minded"	"Animal?"	1
16	"104 1052410"	"*#            *lads          *pores         *deadly        *deadly        *taker"	"Animal?"	1
17	"197 1099401"	"*#            *meeker        *malted        *ramp          *iguana        *given"	"Animal?"	2
18	"072 1036310"	"*#            *conned        *feint         *feint         *fluids        *sent"	"Animal?"	1
19	"032 1016410"	"*#            *carney        *deeper        *excite        *excite        *blooms"	"Animal?"	1
20	"124 1062310"	"*#            *anode         *fuels         *fuels         *outing        *kicker"	"Animal?"	1
21	"129 1065200"	"*#            *busy          *cold          *prayed        *recoup        *shill"	"Animal?"	1
22	"211 1106401"	"*#            *jihad         *peony         *opera         *sheep         *mailed"	"Animal?"	2
23	"038 1019310"	"*#            *tricky        *annals        *annals        *drinks        *notch"	"Animal?"	1
24	"041 1021400"	"*#            *gaffer        *shelf         *corona        *sedate        *impart"	"Animal?"	1
25	"187 1094501"	"*#            *widely        *waves         *tool          *peyote        *frog"	"Animal?"	2
26	"028 1014210"	"*#            *helium        *helium        *hearer        *vodka         *budge"	"Animal?"	1
27	"200 1100501"	"*#            *futile        *ethnic        *equip         *gasket        *crane"	"Animal?"	2
28	"046 1023310"	"*#            *moans         *watery        *watery        *honors        *nimbly"	"Animal?"	1
29	"007 1004200"	"*#            *groom         *rabbi         *vary          *tract         *looser"	"Animal?"	1
30	"134 1067210"	"*#            *vowel         *vowel         *knock         *daft          *vices"	"Animal?"	1
31	"145 1073400"	"*#            *thirty        *velour        *egged         *easel         *frilly"	"Animal?"	1
32	"220 1110201"	"*#            *staged        *dingo         *high          *menial        *putrid"	"Animal?"	2
33	"025 1013400"	"*#            *fails         *oaks          *copper        *clumsy        *feasts"	"Animal?"	1
34	"142 1071310"	"*#            *caliph        *tossed        *tossed        *burr          *anklet"	"Animal?"	1
35	"075 1038300"	"*#            *lecher        *belief        *pepper        *sickly        *regret"	"Animal?"	1
36	"111 1056300"	"*#            *thorns        *hummed        *blotto        *consul        *reach"	"Animal?"	1
37	"128 1064210"	"*#            *purr          *purr          *looms         *pinto         *chunky"	"Animal?"	1
38	"035 1018200"	"*#            *sting         *drift         *gates         *fitful        *scrap"	"Animal?"	1
39	"170 1085501"	"*#            *servo         *corny         *floor         *pistol        *weasel"	"Animal?"	2
40	"089 1045200"	"*#            *deceit        *washer        *doodle        *prices        *rash"	"Animal?"	1
41	"204 1102401"	"*#            *wars          *peon          *halls         *impala        *antic"	"Animal?"	2
